SICSubclass,SubclassDescription,SICCode,SICSection,SICDivision,SICGroup,SICClass
59.13/1,Motion picture distribution activities,59131,J,59,59.1,59.13
59.13/2,Video distribution activities,59132,J,59,59.1,59.13
59.13/3,Television programme distribution activities,59133,J,59,59.1,59.13
62.01/1,Ready-made interactive leisure and entertainment software development,62011,J,62,62.0,62.01
62.01/2,Business and domestic software development,62012,J,62,62.0,62.01
64.19/1,Banks,64191,K,64,64.1,64.19
64.19/2,Building societies,64192,K,64,64.1,64.19
64.20/1,Activities of agricultural holding companies,64201,K,64,64.2,64.20
64.20/2,Activities of production holding companies,64202,K,64,64.2,64.20
64.20/3,Activities of construction holding companies,64203,K,64,64.2,64.20
64.20/4,Activities of distribution holding companies,64204,K,64,64.2,64.20
64.20/5,Activities of financial services holding companies,64205,K,64,64.2,64.20
64.20/9,"Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.",64209,K,64,64.2,64.20
64.30/1,Activities of investment trusts,64301,K,64,64.3,64.30
64.30/2,Activities of unit trusts,64302,K,64,64.3,64.30
64.30/3,Activities of venture and development capital companies,64303,K,64,64.3,64.30
64.30/4,Activities of open-ended investment companies,64304,K,64,64.3,64.30
64.30/5,Activities of property unit trusts,64305,K,64,64.3,64.30
64.30/6,Activities of real estate investment trusts,64306,K,64,64.3,64.30
64.92/1,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,64921,K,64,64.9,64.92
64.92/2,Activities of mortgage finance companies,64922,K,64,64.9,64.92
64.92/9,Other credit granting (not including credit granting by non-deposit taking finance houses and other specialist consumer credit grantors and activities of mortgage finance companies),64929,K,64,64.9,64.92
64.99/1,Security dealing on own account,64991,K,64,64.9,64.99
64.99/2,Factoring,64992,K,64,64.9,64.99
64.99/9,"Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.",64999,K,64,64.9,64.99
65.20/1,Life reinsurance,65201,K,65,65.2,65.20
65.20/2,Non-life reinsurance,65202,K,65,65.2,65.20
68.20/1,Renting and operating of Housing Association real estate,68201,L,68,68.2,68.20
68.20/2,Letting and operating of conference and exhibition centres,68202,L,68,68.2,68.20
68.20/9,Letting and operating of own or leased real estate (other than Housing Association real estate and conference and exhibition services) n.e.c.,68209,L,68,68.2,68.20
69.10/1,Barristers at law,69101,M,69,69.1,69.10
69.10/2,Solicitors,69102,M,69,69.1,69.10
69.10/9,Activities of patent and copyright agents; other legal activities (other than those of barristers and solicitors) n.e.c.,69109,M,69,69.1,69.10
69.20/1,"Accounting, and auditing activities",69201,M,69,69.2,69.20
69.20/2,Bookkeeping activities,69202,M,69,69.2,69.20
69.20/3,Tax consultancy,69203,M,69,69.2,69.20
70.22/1,Financial management,70221,M,70,70.2,70.22
70.22/9,Management consultancy activities (other than financial management),70229,M,70,70.2,70.22
71.11/1,Architectural activities,71111,M,71,71.1,71.11
71.11/2,Urban planning and landscape architectural activities,71112,M,71,71.1,71.11
71.12/1,Engineering design activities for industrial process and production,71121,M,71,71.1,71.12
71.12/2,Engineering related scientific and technical consulting activities,71122,M,71,71.1,71.12
71.12/9,Other engineering activities (not including engineering design for industrial process and production or engineering related scientific and technical consulting activities),71129,M,71,71.1,71.12
74.20/1,Portrait photographic activities,74201,M,74,74.2,74.20
74.20/2,Other specialist photography (not including portrait photography),74202,M,74,74.2,74.20
74.20/3,Film processing,74203,M,74,74.2,74.20
74.20/9,Other photographic activities (not including portrait and other specialist photography and film processing) n.e.c.,74209,M,74,74.2,74.20
74.90/1,Environmental consulting activities,74901,M,74,74.9,74.90
74.90/2,Quantity surveying activities,74902,M,74,74.9,74.90
74.90/9,"Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.",74909,M,74,74.9,74.90
77.29/1,Renting and leasing of media entertainment equipment,77291,N,77,77.2,77.29
77.29/9,Renting and leasing of other personal and household goods (other than media entertainment equipment),77299,N,77,77.2,77.29
77.34/1,Renting and leasing of passenger water transport equipment,77341,N,77,77.3,77.34
77.34/2,Renting and leasing of freight water transport equipment,77342,N,77,77.3,77.34
77.35/1,Renting and leasing of passenger air transport equipment,77351,N,77,77.3,77.35
77.35/2,Renting and leasing of freight air transport equipment,77352,N,77,77.3,77.35
78.10/1,"Motion picture, television and other theatrical casting",78101,N,78,78.1,78.10
78.10/9,"Activities of employment placement agencies (other than motion picture, television and other theatrical casting) n.e.c.",78109,N,78,78.1,78.10
79.90/1,Activities of tourist guides,79901,N,79,79.9,79.90
79.90/9,Other reservation service and related activities (not including activities of tourist guides),79909,N,79,79.9,79.90
81.22/1,Window cleaning services,81221,N,81,81.2,81.22
81.22/2,Specialised cleaning services,81222,N,81,81.2,81.22
81.22/3,Furnace and chimney cleaning services,81223,N,81,81.2,81.22
81.22/9,"Building and industrial cleaning activities (other than window cleaning, specialised cleaning and furnace and chimney cleaning services) n.e.c.",81229,N,81,81.2,81.22
81.29/1,Disinfecting and extermination services,81291,N,81,81.2,81.29
81.29/9,Cleaning services (other than disinfecting and extermination services) n.e.c.,81299,N,81,81.2,81.29
82.30/1,Activities of exhibition and fairorganisers,82301,N,82,82.3,82.30
82.30/2,Activities of conference organisers,82302,N,82,82.3,82.30
82.91/1,Activities of collection agencies,82911,N,82,82.9,82.91
82.91/2,Activities of credit bureaus,82912,N,82,82.9,82.91
85.42/1,First-degree level higher education,85421,P,85,85.4,85.42
85.42/2,Post-graduate level higher education,85422,P,85,85.4,85.42
86.10/1,Hospital activities,86101,Q,86,86.1,86.10
86.10/2,Medical nursing home activities,86102,Q,86,86.1,86.10
91.01/1,Library activities,91011,R,91,91.0,91.01
91.01/2,Archive activities,91012,R,91,91.0,91.01
93.19/1,Activities of racehorse owners,93191,R,93,93.1,93.19
93.19/9,Other sports activities (not including activities of racehorse owners) n.e.c.,93199,R,93,93.1,93.19
